GEOID,NAME,lat,lon,year,state_name,commodity_desc,statisticcat_desc,unit_desc,Value
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,CORN,PRODUCTION,BU,179585
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,CORN,PRODUCTION,TONS,15446
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,CORN,PRODUCTION,BU,165000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,CORN,PRODUCTION,TONS,24000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,COTTON,PRODUCTION,BALES,164
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,350
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,1333
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,1774
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,14084
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,431
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,19700
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,HAYLAGE,PRODUCTION,TONS,270
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,OATS,PRODUCTION,BU,22534
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,OATS,PRODUCTION,BU,25000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,21000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,355134
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,380000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,SWEET POTATOES,PRODUCTION,CWT,8882
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,17113186
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,17486000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,430047
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,506000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,WHEAT,PRODUCTION,BU,506000
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,WOOL,PRODUCTION,LB,NA
37069,Franklin County,36.0882466,-78.2830821,1997,NORTH CAROLINA,WOOL,PRODUCTION,OPERATIONS,4
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,BARLEY,PRODUCTION,BU,10600
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,CORN,PRODUCTION,BU,60000
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,CORN,PRODUCTION,TONS,2900
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,800
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,HAY,PRODUCTION,TONS,12800
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,OATS,PRODUCTION,BU,10000
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,17400
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,257000
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,14513000
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,WHEAT,PRODUCTION,BU,320000
37069,Franklin County,36.0882466,-78.2830821,1998,NORTH CAROLINA,WHEAT,PRODUCTION,BU,320000
